,0
0,Binu
1,Binu
2,Binu
3,Binu
4,Binu
5,Binu
6,Binu
7,Binu
8,Binu
9,Binu
10,Binu
11,Binu
12,Binu
13,Binu
14,Binu
15,Binu
16,Binu
17,Binu
18,Binu
19,Binu
20,Binu
21,Binu
22,Binu
23,Binu
24,Binu
25,Binu
26,Binu
27,Binu
28,Binu
29,Binu
30,Binu
31,Binu
32,Binu
33,Binu
34,Binu
35,Binu
36,Binu
37,Binu
38,Binu
39,Binu
40,Binu
41,Binu
42,Binu
43,Binu
44,Binu
45,Binu
46,Binu
47,Binu
48,Binu
49,Binu
50,Alex
51,Alex
52,Alex
53,Alex
54,Alex
55,Alex
56,Alex
57,Alex
58,Alex
59,Alex
60,Alex
61,Alex
62,Alex
63,Alex
64,Alex
65,Alex
66,Alex
67,Alex
68,Alex
69,Alex
70,Alex
71,Alex
72,Alex
73,Alex
74,Alex
75,Alex
76,Alex
77,Alex
78,Alex
79,Alex
80,Rishov
81,Rishov
82,Rishov
83,Rishov
84,Rishov
85,Rishov
86,Rishov
87,Rishov
88,Rishov
89,Rishov
90,Rishov
91,Rishov
92,Rishov
93,Rishov
94,Rishov
