column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10
243,429,804,744,613,77,972,459,106,315
430,410,541,426,694,645,602,357,218,594
585,82,200,559,475,340,147,533,185,865
963,991,35,923,274,4,734,728,228,58
766,865,201,379,956,605,584,979,900,452
53,692,347,104,53,481,264,893,130,664
828,409,386,81,575,208,174,345,990,398
835,948,349,330,365,186,271,612,443,88
742,591,629,701,744,693,302,783,512,842
76,206,274,481,676,777,103,103,282,838
740,849,620,511,490,342,948,333,279,113
130,435,572,656,306,419,591,915,196,523
406,209,716,77,290,549,420,311,382,86
59,597,672,665,684,288,175,453,333,173
374,460,543,944,106,405,996,178,966,908
507,407,70,133,743,273,623,763,604,142
848,550,671,358,524,460,76,199,578,80
438,663,277,396,731,792,116,355,901,977
138,869,887,689,112,465,125,401,755,546
855,831,492,660,698,459,747,519,846,363
552,246,877,177,572,633,496,266,537,688
335,252,315,21,568,908,872,588,897,748
892,765,204,249,534,241,476,550,507,485
526,702,710,399,522,8,23,927,16,981
733,780,602,135,13,929,812,26,98,993
774,597,702,677,915,36,321,32,769,942
365,161,775,860,209,453,599,402,69,453
325,284,950,139,154,668,629,112,379,180
578,65,12,690,300,371,636,292,331,22
567,468,354,802,313,962,403,649,431,316
745,700,841,448,820,730,325,881,521,890
867,696,986,303,775,638,910,743,892,56
444,737,564,432,632,531,647,138,678,983
832,826,539,362,261,141,328,871,161,632
278,420,509,376,590,746,548,216,442,729
166,344,807,325,293,720,684,5,253,547
100,797,522,878,19,425,951,87,814,989
489,374,35,284,629,212,713,987,167,597
270,711,334,25,805,10,958,954,901,430
485,75,339,354,381,211,452,721,45,574
301,933,496,911,979,426,812,240,954,898
287,580,583,843,888,938,256,424,265,651
850,173,454,804,464,504,769,364,561,71
992,959,583,272,156,739,232,307,246,985
901,112,258,570,126,332,263,647,34,407
63,208,853,965,617,543,107,263,544,427
694,633,817,241,697,744,40,750,486,539
424,658,635,227,920,635,765,642,89,557
15,83,625,572,324,678,820,549,643,279
861,630,652,453,605,592,870,725,573,42
210,935,126,329,70,756,293,290,872,683
847,348,492,467,865,311,529,498,536,705
404,222,607,15,293,620,685,42,510,263
432,771,686,92,148,415,207,161,670,892
726,389,592,787,989,516,124,416,713,393
705,562,820,204,414,623,542,145,494,924
868,939,43,679,827,428,610,647,200,622
623,353,803,954,629,495,192,612,857,369
31,204,128,636,64,45,831,739,904,674
564,438,190,447,2,29,223,263,261,618
307,830,760,215,457,308,663,536,466,499
573,825,158,451,34,825,495,888,449,515
927,612,402,158,215,145,520,193,443,167
203,171,550,538,184,465,500,407,453,744
741,374,591,439,651,43,100,341,931,415
497,590,872,366,827,972,387,632,591,51
698,230,645,174,539,866,779,915,6,68
630,305,824,232,492,546,317,612,411,801
293,807,229,148,541,504,43,146,468,356
98,355,808,689,231,791,824,246,775,862
336,449,601,252,444,516,805,448,808,13
231,239,694,228,632,881,398,454,668,807
481,447,673,135,19,770,976,859,751,218
284,33,505,242,673,585,281,687,880,776
244,97,795,785,922,444,997,343,696,271
988,909,399,0,571,981,83,672,679,948
312,440,265,476,643,777,873,748,139,551
704,300,327,175,766,913,379,889,875,191
636,576,925,693,615,523,580,293,298,158
112,624,496,678,837,934,39,327,331,842
399,694,981,211,684,763,551,553,764,332
749,645,391,718,466,876,634,142,540,262
728,560,29,468,262,286,456,65,982,182
165,975,840,452,123,798,99,781,619,745
614,492,921,918,499,460,549,611,238,322
287,708,846,794,380,382,57,896,981,447
326,716,913,462,638,939,685,336,941,321
969,721,568,989,209,380,969,757,488,656
943,667,944,925,777,111,322,916,838,595
968,332,30,820,124,638,798,546,743,603
631,535,172,700,278,563,877,276,31,81
855,28,9,862,243,351,167,472,978,967
454,299,844,245,30,379,407,360,188,815
685,789,687,607,930,115,587,28,350,136
424,544,26,792,954,595,893,712,722,842
400,683,463,505,505,672,7,249,926,710
343,150,70,356,292,143,627,833,525,856
571,414,758,582,780,72,176,505,301,356
487,344,458,443,398,141,903,21,887,668
701,984,954,731,165,601,419,572,558,67
574,767,358,426,901,256,191,303,901,950
163,723,598,729,202,102,353,645,743,997
25,321,273,473,538,916,451,0,142,931
935,634,484,989,205,589,678,366,867,668
349,17,781,757,722,239,388,861,286,289
941,146,664,348,595,564,762,899,671,439
20,958,516,582,622,635,949,390,167,382
548,163,471,992,715,367,832,527,644,521
86,828,809,343,43,417,374,551,922,847
377,849,734,438,235,373,138,697,77,705
672,608,387,151,299,77,44,0,493,313
934,798,614,984,809,363,136,710,742,935
775,156,281,525,975,511,402,194,350,812
886,447,272,523,885,539,721,745,338,311
14,142,176,332,630,140,33,771,437,955
775,587,183,544,629,597,463,256,295,521
713,258,230,429,413,796,635,708,317,211
703,736,96,506,431,357,616,29,683,705
602,111,400,207,186,156,724,698,405,841
979,269,727,289,848,862,385,708,80,8
304,646,478,741,931,533,416,985,815,801
